caption,Nama Tempat,Alamat,Jam Operasional,Kota,Akun Instagram,Jam Buka,Jam Tutup,Is 24H,Is Overnight,Kategori Tempat,Kategori Multilabel List,Kategori Multilabel
"Buat yang males macet-macetan dan pengen suasana ijo-ijo tenang bisa nih kesini 🍃✨

Salah satu coffee shop baru di Jogja yang nyaman buat WFC, ngopi bareng temen ataupun makan bareng keluarga juga bisa banget karena menu makanannya proper 👌🏻

Detailnya cek di carousel post ya! 🙌🏻

Teduh Garden & Coffee @teduh_garden_coffee 
10:00 ——— 23:00
Jl. Sidomukti, Tiyosan, Condongcatur, Depok, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Teduh Garden & Coffee,"Jl. Sidomukti, Tiyosan, Condongcatur, Depok, Sleman, Yogyakarta",10:00 - 23:00,Sleman,@teduh_garden_coffee,10:00,23:00,False,False,Ngopi Santai,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Tempat ini beneran ngasih solusi buat kalian yang di musim liburan ini bingung mau ngapain atau males pergi-pergi karena macet dimana-mana: ngopi, main PS, netflixan, sampai ngechill di rooftop yang asik semua bisa kalian lakuin!

Jadi ini tu @318.idn (coffee & PlayStation) yang belum lama buka di Demangan. Mereka total punya 4 lantai: lantai 1 area bar & working space cocok buat nugas, lantai 2 regular PlayStation area (ps4), lantai 3 VVIP PlayStation area (private room ps5) dan lantai 4 rooftop! 

Buat menunya disini ada Mont Blanc yang lagi banyak dicari tuh, cukup balance dan smooth. Whitenya juga full arabica, matchanya ngga kemanisan terus ada cake & juga pastry ya buat temen minum!

Beneran deh daripada emosi dijalan mendingan ngabisin waktu disini kan 😎

318 Coffee & Playstation @318.idn 
24 JAM
Jl. Affandi, Demangan, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #psjogja #coffeeshopbarujogja coffeeshop24jamjogja",318 Coffee & Playstation,"Jl. Affandi, Demangan, Yogyakarta",24 Jam,Yogyakarta,@318.idn,00:00,23:59,True,False,Ngopi Santai,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Nambah lagi tempat ngopi luas 24 jam di tengah kota! Jadi ini tu cabang Kopi Nako ke-66 dan outlet ke-3 Kopi Nako Rumah Sangrai setelah Bogor & Jakarta.

Nah selain mengusung rumah sangrai nyamenariknya lagi yang di Jogja ini mereka ada ruang baca! Nggak berhenti disitu, buat yang udah familiar sama soto dalbe, mereka kasih space khusus buat soto dalbe buka di area samping depan deket area parkir.

Bener-bener bakal jadi one stop ngopi, wfc, nongkrong, baca buku dan makan soto dalbe sih ini!

Kopi Nako Rumah Sangrai - Jogja @kopinako_jogja
24 jam
Jl. Jend. Sudirman, Kotabaru, Yogyakarta (eks gedung tribun/barat gramedia persis)

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja #kopinako #kopinakojogja",Kopi Nako Rumah Sangrai - Jogja,"Jl. Jend. Sudirman, Kotabaru, Yogyakarta (eks gedung tribun/barat gramedia persis)",24 Jam,Yogyakarta,@kopinako_jogja,00:00,23:59,True,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Akhirnya ada tempat yang bisa buat ngopi enak, tempat luas, bisa nongkrong ramean bareng temen bisa WFC, ada view sawah dalam satu tempat proper ✨

Iya ini tu gerbrakan terbaru dari Bento Group yang baru aja buka “Bento Coffee” dengan menu-menu kopinya yang lebih serius dan udah pakai full 100% arabica ya!

Bento Coffee Seturan @bentocoffee.idn
07:00 ——— 24:00
Seturan, Kledokan, Caturtunggal, Sleman, YK

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja

Tempatnya pun juga menurut kami sangat ideal dan enak banget buat sekedar ngopi, nongkorong bareng temen-temen, nugas maupun WFC. Satu lagi, ada view sawah ijo-ijo 🍃😍

Udah pada kesini? Gas lah mumpung udah weekend ✨",Bento Coffee Seturan,"Seturan, Kledokan, Caturtunggal, Sleman, YK",07:00 - 24:00,Sleman,@bentocoffee.idn,07:00,23:59,False,False,Area Lengkap,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Salah satu andalan warga jakal atas buat WFC-an nih, masih ada promo ngopi pagi 15rb aja!

Buat kalian yang nugas harus di coffee shop dan ditemenin es kopi susu tempat ini bakalan cocok karena vibesnya emang dibikin buat nugas banget dan ada banyak pilihan menu es kopi susu maupun non coffee, range harganya ada di 14rb-24rb aja!

Oh iya mereka juga punya 2 meeting room ya!

Btw Dingo ini udah ada 3 cabang, UII, UMY dan Maguwoharjo, nah buat yang nyari coffee shop 24 jam kalian bisa ke cabangnya yang di Maguwo ya karena di bulan Desember ini khusus cabang Maguwo buka 24 jam.

Dingo Coffee @dingo.idn
08:30 ——— 24:00
Jalan Kaliurang KM 14.5 Sleman (utara UII)

#coffeeshopjogja #jogjacoffeeshop",Dingo Coffee,Jalan Kaliurang KM 14.5 Sleman (utara UII),24 Jam,Sleman,@dingo.idn,00:00,23:59,True,False,Ngopi Santai,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Baru di Jogja! —— Filosofi Kopi buka di UGM!

Akhirnya ada cabang baru @filosofikopi yang nggak jauh dari kota. Tempat barunya ini mereka berkolaborasi bersama KAGAMA & UGM menempati sebuah Flat dengan arsitektur indis di daerah Sekip. Cek detailnya di feed sebelum postingan ini ya! 🙌🏻

GUYUB Filosofi Kopi @filosofikopi 
07:00 ——— 22:00
UGM - Flat E, Sekip, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #FilosofiKopi #FilkopJogja #FilkopUGM #GuyubFilosofiKopi",GUYUB Filosofi Kopi,"UGM - Flat E, Sekip, Yogyakarta",07:00 - 22:00,Yogyakarta,@filosofikopi,07:00,22:00,False,False,Menu Variatif,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Nih buat kalian yang lagi cari coworking space dengan semi-private seating, area luas, banyak pilihan tempat duduk, wifi kencang, ada mushola, dan es kopi susu yang balance, tempat ini bisa kalian save ya! Cek detailnya di foto!

Ini Kopi Ulon @inikopiulon.sagan 
09:00 ——— 20:00
Sagan, Yogyakarta

#referensikopi #jogjacoffeeshop #coffeeshopjogja #coworkingspacejogja",Ini Kopi Ulon,"Sagan, Yogyakarta",09:00 - 20:00,Yogyakarta,@inikopiulon.sagan,09:00,20:00,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Kalau kalian lagi nyari tempat nyaman buat WFC tapi juga mau kopi enak, @kemari.coffee ini bisa jadi pilihan ya! 

Vibesnya udah mendukung banget buat WFC, meja kursi ergonomis, ac adem dan pencahayaan yang enak dimata. Selain itu mereka ini sangat concern di menu kopinya, kemarin nyobain mulai dari filter, white dan dirty latte enak semua! Makanannya gimana? Sama enaknya apalagi kemarin nyobain sapi asapnya bener-bener bikin nagih!

Kemari Coffee & Space @kemari.coffee
08:00 ——— 24:00
Pandega Mandala, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta (Jakal Bawah)

#coffeeshopjogja #jogjacoffeeshop",Kemari Coffee & Space,"Pandega Mandala, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta (Jakal Bawah)",08:00 - 24:00,Sleman,@kemari.coffee,08:00,23:59,False,False,Ngopi Santai,"['Ngopi Santai', 'WFC Nyaman']","Ngopi Santai, WFC Nyaman"
"Beberapa hari lalu kami mendatangi grand opening sebuah coffee shop di seturan yang luasnya 9-10 kali lapangan padel.

Letaknya agak masuk sedikit ke dalam dan sesampainya di dalam langsung dibikin melongo karena luasnya. Luas bangunannya 11-12 dengan gerai koat coffee yang sebelum-sebelumnya namun kali ini lebih luas berkali-kali lipat terutama untuk area parkirnya. Kayak lapangan!

Karena didukung dengan area parkir super luas koat coffee seturan ini cocok buat kalian yang mau ngadain community gathering, atau ya sesimpel buat kalian yang males kalau ke coffee shop dan parkirnya susah, di tempat ini bahkan buat belajar nyetir mobil juga bisa tuh kalau pas masih kosong. 😁

Selain itu pastinya juga nyaman buat WFC atau seledar nongkrong bareng temen-temen ya mereka juga punya ruang smoking AC.

Koat Coffee Seturan @koatcoffee.idn
24 JAM
Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja #koatcoffee",Koat Coffee Seturan,"Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta",24 Jam,Sleman,@koatcoffee.idn,00:00,23:59,True,False,Area Lengkap,"['Menu Variatif', 'Area Lengkap']","Menu Variatif, Area Lengkap"
"Resign dari bandara nekat buka roastery sendiri!

Iya, buat sebagian orang mungkin kerja di bandara udah enak dan “safe” ya tapi enggak buat Mas Imam, owner dari tempat ini yang memutuskan resign dan ngejar passionnya buat buka roastery sendiri.

Jadi belum lama ini kami datang ke salah satu roastery di Jogja yang lokasinya cukup tersembunyi, ada di area pemukiman warga dan di gang buntu!

Tapi tenang, tempatnya cukup mudah ditemukan kok dan sesampainya di lokasi kayaknya kalian pun bakal cukup betah karena menunya dan obrolan ringan dari mas Santos dan mas Imam seperti yang kami rasakan. Serius kami baru pertama kali kesini tapi rasanya udah kayak temenan lama. 

Kalau kalian lagi pengen cari beans berkualitas atau sekedar ngopi atau bertukar cerita langsung agendain aja ya! Nanti ketemu mas Santos dan mas Imam 🤝 

Kranesia @kranesia_official
08:00 — 18:00 | Minggu 10:00 — 18:00
Kradenan, Maguwoharjo, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #roasteryjogja #kranesia",Kranesia,"Kradenan, Maguwoharjo, Sleman, Yogyakarta",08:00 - 18:00,Sleman,@kranesia_official,08:00,18:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Ngopi pagi start 10rb aja dari jam 8-12! Ada juga pumpkin donuts dan dessert enak lainnya ✨😍

Salah satu coffee shop yang udah cukup long standing WFC-friendly wifi up-to 150mbps di Jakal atas 🍃 

Mereka juga baru ada menu baru ✨Liquid Caffeine✨ yang di-serve langsung di meja 🙌🏻

Culture Head @cultureheadsignature 
08:00 ——— 24:00
Jl. Kaliurang KM 14, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #ngopipagijogja",Culture Head,"Jl. Kaliurang KM 14, Sleman, Yogyakarta",08:00 - 24:00,Sleman,@cultureheadsignature,08:00,23:59,False,False,WFC Nyaman,"['Ngopi Santai', 'WFC Nyaman']","Ngopi Santai, WFC Nyaman"
"Kalau kalian lagi cari cafe buat WFC yang nggak cuma sekedar aesthetic tapi menu-menunya juga well-served, tempat ini bisa kalian datengin ya!

Udah beberapa kali kesini dan masih dibikin betah dan ketagihan sama menu-menunya. Buat mille crepesnya udah ngga perlu diragukan lagi lah ya, menu ini kalau diturutin kayaknya bisa deh makan tiap hari karena emang seenak itu.

Selain mille crepesnya kemarin nyobain avocado toast yang nggak kalah bikin nagih, topping avocado & cheesenya balance dipadukan dengan shokupan yang super lembut. Kirain makan toast gini bakal eneg ternyata enggak. Minumnya ada iced latte (full arabica) dan yang seger-seger ada peach tea.

Oh iya btw mereka juga ada private room ya, bisa buat meeting atau yang pengen lebih fokus. Tersedia beberapa baby chair dan juga photobooth! Dah buat yang belum pernah langsung datengin aja ya!

Bloomery Atelier @bloomery___atelier
09:00 —— 22:00
Jl. Jambon, Tegalrejo, Yogyakarta

#BloomeryAtelier #WorkFromBloomeryAtelier #JoyfulRetreatForTheSoul #HiddenGemJogja
#CoffeeshopJogja #CafeJogja #WFHSpotJogja #WorkFriendlyCafe #PlaceToGoJogja",Bloomery Atelier,"Jl. Jambon, Tegalrejo, Yogyakarta",09:00 - 22:00,Yogyakarta,@bloomery___atelier,09:00,22:00,False,False,Area Lengkap,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Coffee shop baru di Jogja yang vibesnya asik bgt nih!

Kayaknya bakal jadi experience baru ngopi di Jogja sih ini! Selain karena lokasinya yang ada di lantai paling atas JNM Bloc dengan vibes asiknya yang udah nggak perlu diragukan lagi juga karena konsepnya yang gabungin coffee shop & studio DJ! Bukan cuma gimmick, studionya bisa kalian sewa ya! 

Nggak cuma disitu aja, menu-menu mereka juga sangat well-served dengan show barnya yang sangat entertaining.

Buat yang lagi suka banget sama dirty latte cobain deh kayaknya dirty disini bisa jadi one of the top-tier dirty latte di Jogja. Mocktailnya smooth & balance dan ada satu lagi minuman semacam frappe yang lebih ke sweet!

Pengen snacking? Tenang! Ada finger foodnya juga kok. Salah satu yang rekomended ada gochujang spicy wings yang bikin ngga berhenti makan!

Overall, tempat ini bisa dibilang one-stop buat kalian yang pengen chill, ngopi, minum & ngemil enak, WFC-an juga bisa, dan belajar DJ buat yang into it.

Mash House & DJ @mashhouse.id
08:00 ——— 23:00
Lantai 3 JNM Bloc, Yogyakarta 

#referensikopi #coffeeshopjogja #jogjacoffeeshop #studiodj #studiodjjogja #jnmbloc",Mash House & DJ,"Lantai 3 JNM Bloc, Yogyakarta",08:00 - 23:00,Yogyakarta,@mashhouse.id,08:00,23:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Hidden coffee shop baru ini sepertinya cocok buat kalian yang lagi cari coffee shop dengan suasana alam tapi masih ngga jauh dari kota.

Lokasinya literally hidden yang dikelilingi pohon-pohon rindang dengan suara kicauan burung dan gemercik sungai di belakang.

Nggak cuma suasana alam tapi fasilitasnya juga cukup lengkap mulai dari indoor ac lengkap dengan sofa ergonomis empuk yang cocok buat WFC, smoking room indoor ac, area semi outdoor dan meeting room!

Menu minumannya juga enak, kemarin coba es kopi susu sangat light dan balance begitu juga dengan mocktailnya. Matcha strawberrynya juga oke, semuanya pas. Selain itu juga ada snack ya!

Dah langsung datengin!

Milana Coffee & Space @milanacoffee.space
10:00 ——— 24:00
Pringwulung, Condongcatur, Depok, Sleman

#coffeeshopjogja #jogjacoffeeshop",Milana Coffee & Space,"Pringwulung, Condongcatur, Depok, Sleman",10:00 - 24:00,Sleman,@milanacoffee.space,10:00,23:59,False,False,Area Lengkap,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Pernah nggak kalian udah tau banget sama suatu tempat, udah lama ada, banyak tempat baru yang buka tapi tiap ke tempat lama itu rasanya nggak pernah bikin bosen? Atau bahkan pengen balik lagi karena suasananya meskipun udah beberapa kali dateng?

Nah kira-kira kayak gitu yang kami rasakan pas dateng lagi dan lagi ke @filosofikopi. Entah kenapa, tempat ini selalu terasa sama seperti dulu pertama kali kami datang. This place never gets old! 

Selain asik banget buat chill santai bareng temen atau keluarga kalian juga bisa WFC disini karena ambiancenya yang tenang. Cocok buat yang pengen fokus sambil liatin pohon-pohon ijo.

Belum lama ini mereka baru ngeluarin menu mocktail terbarunya, kemarin kami nyobain pineapple brew dan lemon brew yang keduanya punya karakter rasa uniknya sendiri yang smooth, balance dan tentunya seger ya! Basicnya mereka pakai coldbrew jadi memang lebih smooth dan balance. 👌🏻

Selain itu ada juga snack dan maincourse juga ya kemarin coba ricebowl yang chicken asam manis dan chicken bumbu rempah buat snacknya ada churros!

Udah kesini berapa kali?

Filosofi Kopi Jogja @filosofikopi
07:00 ——— 22:30
Jl. Pandhawa no. 3, Palagan, Sleman, Yogyakarta

#jogjacoffeeshop #coffeeshopjogja #cafejogja #filosofikopi #filosofikopijogja #referensikopi",Filosofi Kopi Jogja,"Jl. Pandhawa no. 3, Palagan, Sleman, Yogyakarta",07:00 - 22:30,Sleman,"@filosofikopi, @filosofikopi.",07:00,22:30,False,False,Ngopi Santai,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Warga Jogsel yang nyari coffee shop ada silent roomnya bisa kesini ya!

Belum lama ini kami ke daerah Sewon dan nemuin coffee shop classic yang ternyata areanya luas banget. Pertama masuk kirain cuma di depan aja ternyata masih ada area belakang yang luas dan juga menarik.

Konsepnya cukup unik yang gabung bangunan vintage dengan ornamen jawa klasik, mereka juga punya silent room dan juga meeting room dengan area indoor ac yang cukup luas jadi bisa dibilang pas banget buat yang mau WFC.

Untuk menu-menunya yang kami coba semuanya cocok! Kalau kalian suka es kopi susu menurut kami tempat ini salah satu yang punya es kopi susu enak apalagi yang matcha coffee. Balance, creamy, manisnya pas kopinya juga pas 👌🏻

Menu makanannya pun banyak ya! Kemarin suka sama gyoza kuah dan nasi truntum yang pakai nasi basmati rempah.

Truntum Coffee & Space @truntumcoffee
10:00 ——— 23:00
Sewon, Bantul, Yogyakarta (belakang pasar niten)

#jogjacoffeeshop #coffeeshopjogja #cafejogja #wfcjogja #referensikopi",Truntum Coffee & Space,"Sewon, Bantul, Yogyakarta (belakang pasar niten)",10:00 - 23:00,Bantul,@truntumcoffee,10:00,23:00,False,False,Area Lengkap,"['Menu Variatif', 'Ngopi Santai', 'Area Lengkap']","Menu Variatif, Ngopi Santai, Area Lengkap"
