caption,caption_norm,nama_tempat,jam_operasional,alamat,kota,akun_instagram,open_time,close_time,is_24h,is_overnight,menu_category,function_category
"Sore kemarin pas lagi motoran bareng Yamaha Grand Filano sebenernya agak bingung mau kemana, kebetulan lagi di daerah jalan Godean, berhenti bentar liat maps dan mutusin buat dateng ke @tiga.by.kanca 

Dari luar udah keliatan banget karena cukup kontras dengan bangunan lain disekitarnya, pas masuk konsep yang lebih bold sangat terasa. Lounge chair depan bar, scandinavian furniture, atomic lamp, natural texture dan warna natural yang solid bikin tempat ini sangat perfect untuk sekedar menikmati waktu ditemani secangkir kopi dan slice cheese cake. Konsep mid-century modern kayak gini emang gada lawan.

Btw sekarang bahas dikit yang di slide pertama ya: Grand Filano ini nyaman buat sehari-hari ataupun perjalanan jauh, ngga gampang pegel pas dipake, bagasinya gede! Mau buat bawa tas, barang belanjaan, dll bisa banget jadi ngga ribet. Footspacenya lega & light weight, irit dan garansinya 5 tahun! Buat nongkrong gini juga oke karna emang desain motornya stylish. Nanti coba kami cariin kelebihan lainnya ya! Siapa tau ada yang mau beli atau ganti motor 😊

Tiga by Kanca @tiga.by.kanca 
13:00 ——— 20:00
Gg. Akasia, Kwarasan, Nogotirto, Yogyakarta (area Jl. Godean/Jl. Kabupaten)","sore kemarin pas lagi motoran bareng yamaha grand filano sebenernya agak bingung mau kemana, kebetulan lagi di daerah jalan godean, berhenti bentar liat maps dan mutusin buat dateng ke @tiga.by.kanca 
dari luar udah keliatan banget karena cukup kontras dengan bangunan lain disekitarnya, pas masuk konsep yang lebih bold sangat terasa. lounge chair depan bar, scandinavian furniture, atomic lamp, natural texture dan warna natural yang solid bikin tempat ini sangat perfect untuk sekedar menikmati waktu ditemani secangkir kopi dan slice cheese cake. konsep mid-century modern kayak gini emang gada lawan.
btw sekarang bahas dikit yang di slide pertama ya grand filano ini nyaman buat sehari-hari ataupun perjalanan jauh, ngga gampang pegel pas dipake, bagasinya gede mau buat bawa tas, barang belanjaan, dll bisa banget jadi ngga ribet. footspacenya lega light weight, irit dan garansinya 5 tahun buat nongkrong gini juga oke karna emang desain motornya stylish. nanti coba kami cariin kelebihan lainnya ya siapa tau ada yang mau beli atau ganti motor 
tiga by kanca @tiga.by.kanca 
13 00 - 20 00
gg. akasia, kwarasan, nogotirto, yogyakarta area jl. godean jl. kabupaten",Tiga by Kanca,13:00 - 20:00,"Gg. Akasia, Kwarasan, Nogotirto, Yogyakarta (area Jl. Godean/Jl. Kabupaten)",Yogyakarta,@tiga.by.kanca,13:00,20:00,False,False,"['kopi', 'dessert']","['hangout', 'dating']"
"Masih ada promo 2 donat + 1 es kopi susu cuma 25K aja!

Awalnya sempet mikir kalau @dopiodonat ini cuma jualan donat aja tapi ternyata kami salah besar, kalau diperhatiin lagi di signnya ternyata ada “donuts & coffee” which is pastinya juga ada kopi.

Kemarin kami nyobain yang di Tamansiswa yang lokasinya jadi satu sama @toean_watiman, yes cafe/resto legendaris yang udah ada sejak dulu dengan pilihan menunya yang banyak. Jadi kalau pas di Dopio dan mau makan kalian bisa tuh pesen makannya di Toean Watiman.

Dopio Tamansiswa ini punya area indoor dan outdoor, semuanya nyaman terutama indoornya yang lebih cocok buat nugas atau sekedar meeting/ngobrol sama temen. Pilihan menunya banyak, karena spesialtinya donat, ada banyak banget varian donat yang bisa kalian pilih. Es kopi susunya juga banyak dan gelasnya gede!

Dopio Donuts & Coffee @dopiodonat 
09:00 ——— 22:00
Jl. Tamansiswa, Yogyakarta","masih ada promo 2 donat 1 es kopi susu cuma 25k aja 
awalnya sempet mikir kalau @dopiodonat ini cuma jualan donat aja tapi ternyata kami salah besar, kalau diperhatiin lagi di signnya ternyata ada donuts coffee which is pastinya juga ada kopi.
kemarin kami nyobain yang di tamansiswa yang lokasinya jadi satu sama @toean watiman, yes cafe resto legendaris yang udah ada sejak dulu dengan pilihan menunya yang banyak. jadi kalau pas di dopio dan mau makan kalian bisa tuh pesen makannya di toean watiman.
dopio tamansiswa ini punya area indoor dan outdoor, semuanya nyaman terutama indoornya yang lebih cocok buat nugas atau sekedar meeting ngobrol sama temen. pilihan menunya banyak, karena spesialtinya donat, ada banyak banget varian donat yang bisa kalian pilih. es kopi susunya juga banyak dan gelasnya gede 
dopio donuts coffee @dopiodonat 
09 00 - 22 00
jl. tamansiswa, yogyakarta",Dopio Donuts & Coffee,09:00 - 22:00,"Jl. Tamansiswa, Yogyakarta",Yogyakarta,"@dopiodonat, @toean_watiman",09:00,22:00,False,False,"['kopi', 'makanan', 'dessert']",['wfc']
"Tempat yang nyaman buat disinggahi terutama kalau kalian lagi di tengah kota nggak jauh dari Kraton. Selain nyaman juga vibesnya yang jarang ada di tempat lain.

Menu-menunya ada cukup banyak dan sesuai namanya, selain kopi mereka juga punya beberap menu wedangan yang menyegarkan. 

Jangan lupa mampir ya kalau lagi di sekitaran Kraton 🙌🏻

Nangkring Wedangan & Kedai Kopi @nangkringwedangan 
10:00 ——— 22:00
Barat Kraton Yogyakarta","tempat yang nyaman buat disinggahi terutama kalau kalian lagi di tengah kota nggak jauh dari kraton. selain nyaman juga vibesnya yang jarang ada di tempat lain.
menu-menunya ada cukup banyak dan sesuai namanya, selain kopi mereka juga punya beberap menu wedangan yang menyegarkan. 
jangan lupa mampir ya kalau lagi di sekitaran kraton 
nangkring wedangan kedai kopi @nangkringwedangan 
10 00 - 22 00
barat kraton yogyakarta",Nangkring Wedangan & Kedai Kopi,10:00 - 22:00,Barat Kraton Yogyakarta,Yogyakarta,@nangkringwedangan,10:00,22:00,False,False,['kopi'],[]
"Pernah ngga sih pengen jajan tapi ngerasa bersalah sama tubuh karna jajannya goreng-gorengan/ultra process food, dll? Nah kemarin kami lagi ngerasa kayak gitu tuh apalagi udah sering banget minum es dan kopi susu yang manis-manis itu 🥲

Mulai dari keresahan itu akhirnya kami memutuskan buat jajan jajanan sehat, setelah nyari kebetulan di Jogja ada beberapa kedai yang concern utamanya adalah healty food, salah satunya @easypeasykitchen.id. Salad bar pertama di Jogja yang sekarang udah ada 3 cabang (Prawirotaman, Jakal & Godean)

Kemarin kami nyobain yang di Prawirotaman sekalian nyari suasananya yang asik. Serius makan sehat kayak gini ternyata bisa enak! Kemarin kami nyobain smoothie bowl, salad dan cold-pressed juice. Btw smoothie bowlnya available di semua store dan bisa ditakeaway ya!

Oh iya satu lagi, ternyata mereka juga punya slim sandwich yang lagi viral, ini tu kayak sandwich biasa tapi rotinya tipis crunchy padahal ngga digoreng. Pilihannya isiannya ada chicken BBQ, tuna mayo, chicken tartar, pinky beet.

Easy Peasy Salad Bar @easypeasykitchen.id
09:00 ——— 21:00
Prawirotaman, Jakal & Godean","pernah ngga sih pengen jajan tapi ngerasa bersalah sama tubuh karna jajannya goreng-gorengan ultra process food, dll nah kemarin kami lagi ngerasa kayak gitu tuh apalagi udah sering banget minum es dan kopi susu yang manis-manis itu 
mulai dari keresahan itu akhirnya kami memutuskan buat jajan jajanan sehat, setelah nyari kebetulan di jogja ada beberapa kedai yang concern utamanya adalah healty food, salah satunya @easypeasykitchen.id. salad bar pertama di jogja yang sekarang udah ada 3 cabang prawirotaman, jakal godean 
kemarin kami nyobain yang di prawirotaman sekalian nyari suasananya yang asik. serius makan sehat kayak gini ternyata bisa enak kemarin kami nyobain smoothie bowl, salad dan cold-pressed juice. btw smoothie bowlnya available di semua store dan bisa ditakeaway ya 
oh iya satu lagi, ternyata mereka juga punya slim sandwich yang lagi viral, ini tu kayak sandwich biasa tapi rotinya tipis crunchy padahal ngga digoreng. pilihannya isiannya ada chicken bbq, tuna mayo, chicken tartar, pinky beet.
easy peasy salad bar @easypeasykitchen.id
09 00 - 21 00
prawirotaman, jakal godean",Easy Peasy Salad Bar,09:00 - 21:00,"Prawirotaman, Jakal & Godean",Lainnya,"@easypeasykitchen.id, @easypeasykitchen.id.",09:00,21:00,False,False,"['kopi', 'makanan']",[]
"Salah satu tempat ngopi, nongkrong, meetup sama temen-temen ataupun nugas di Jogja bagian barat. Tempatnya luas dan banyak pilihan area duduk.

Selain itu vibes @toleransikopi.banyuraden ini industrial yang deket sama alam. Banyak pohon-pohon rindang dan di bagian belakang viewnya langsung hamparan sawah luas.

Pilihan menunya juga banyak dan terjangkau, banyak comfort food dan es kopi susu ataupun minuman non coffee lainnya yang bisa kalian coba 👌🏼

Toleransi Kopi Banyuraden @toleransikopi.banyuraden @toleransikopi.id 
10:00 ——— 01:00
Banyuraden, Yogyakarta","salah satu tempat ngopi, nongkrong, meetup sama temen-temen ataupun nugas di jogja bagian barat. tempatnya luas dan banyak pilihan area duduk.
selain itu vibes @toleransikopi.banyuraden ini industrial yang deket sama alam. banyak pohon-pohon rindang dan di bagian belakang viewnya langsung hamparan sawah luas.
pilihan menunya juga banyak dan terjangkau, banyak comfort food dan es kopi susu ataupun minuman non coffee lainnya yang bisa kalian coba 
toleransi kopi banyuraden @toleransikopi.banyuraden @toleransikopi.id 
10 00 - 01 00
banyuraden, yogyakarta",Toleransi Kopi Banyuraden,10:00 - 01:00,"Banyuraden, Yogyakarta",Yogyakarta,"@toleransikopi.banyuraden, @toleransikopi.id",10:00,01:00,False,True,['kopi'],"['wfc', 'hangout']"
"Pernah ngga sih diposisi bingung kalau harus nyuci karena cucian numpuk tapi juga lagi banyak kerjaan. Mau ditinggal nanggung, nggak ditinggal wasting time banget.

Nah belum lama ini kami dibikin penasaran sama sign baru warna biru toska di perempatan ringroad Jakal. Setelah cari tau ternyata tempat self laundry 24 jam yang punya proper coffee shop!

Awalnya mikir dimana coffee shopnya karena dari luar keliatan ngga begitu luas, eh ternyata coffee shopnya di lantai 2 dan surprisingly tempatnya luas dan banyak pilihan tempat duduk nyaman buat nugas! Jadi kalian bisa nyuci baju dulu di bawah (lantai 1) terus sambil nunggu cuciannya kalian bisa tuh ngopi dulu atau nugas di atas.

Pilihan menunya juga cukup banyak dan proper, worth the price lah ✨

Langsung agendain aja ya!

Wazfun X Torte Coffee & Space
Self Laundry 24 jam | Coffee 09:00 —— 23:00
Perempatan Jalan Kaliurang","pernah ngga sih diposisi bingung kalau harus nyuci karena cucian numpuk tapi juga lagi banyak kerjaan. mau ditinggal nanggung, nggak ditinggal wasting time banget.
nah belum lama ini kami dibikin penasaran sama sign baru warna biru toska di perempatan ringroad jakal. setelah cari tau ternyata tempat self laundry 24 jam yang punya proper coffee shop 
awalnya mikir dimana coffee shopnya karena dari luar keliatan ngga begitu luas, eh ternyata coffee shopnya di lantai 2 dan surprisingly tempatnya luas dan banyak pilihan tempat duduk nyaman buat nugas jadi kalian bisa nyuci baju dulu di bawah lantai 1 terus sambil nunggu cuciannya kalian bisa tuh ngopi dulu atau nugas di atas.
pilihan menunya juga cukup banyak dan proper, worth the price lah 
langsung agendain aja ya 
wazfun x torte coffee space
self laundry 24 jam coffee 09 00 - 23 00
perempatan jalan kaliurang",Wazfun X Torte Coffee & Space,24 Jam,Perempatan Jalan Kaliurang,Lainnya,,00:00,23:59,True,False,[],['wfc']
"Kalau temen-temen lagi nyari coffee shop yang ada live music tiap hari, tempat ini jadi salah satunya ya!

Nama tempatnya @rambatcoffee lokasinya ada di Jalan Perumnas. Tempatnya luas banyak pilihan tempat duduk, ada indoor ac, indoor fan dan full outdoor teduh dengan banyak pohon-pohon, jadi kalau mau nongkrong di outdoor siang-sing pun nggak bakal kepanasan.

Selain dari yang sudah kami sebutkan diatas hal lain yang nggak kalah buat dibahas adalah menunya. Kemarin nyobain beberapa dan semua proper! Mulai dari looksnya, rasanya dan harganya semua sebanding.

Langsung agendain aja ya mumpung weekend ✨

Rambat Coffee & Space @rambatcoffee 
08:00 ——— 23:00
Jl. Perumnas, Nologaten, Sleman, YK","kalau temen-temen lagi nyari coffee shop yang ada live music tiap hari, tempat ini jadi salah satunya ya 
nama tempatnya @rambatcoffee lokasinya ada di jalan perumnas. tempatnya luas banyak pilihan tempat duduk, ada indoor ac, indoor fan dan full outdoor teduh dengan banyak pohon-pohon, jadi kalau mau nongkrong di outdoor siang-sing pun nggak bakal kepanasan.
selain dari yang sudah kami sebutkan diatas hal lain yang nggak kalah buat dibahas adalah menunya. kemarin nyobain beberapa dan semua proper mulai dari looksnya, rasanya dan harganya semua sebanding.
langsung agendain aja ya mumpung weekend 
rambat coffee space @rambatcoffee 
08 00 - 23 00
jl. perumnas, nologaten, sleman, yk",Rambat Coffee & Space,08:00 - 23:00,"Jl. Perumnas, Nologaten, Sleman, YK",Sleman,@rambatcoffee,08:00,23:00,False,False,[],['hangout']
"Minggu lalu kami menemukan tempat lucu ini di bilangan Jakal Bawah. Tempatnya emang mungil, tapi asik banget buat sekedar ngemil cookies ataupun cake yang nagih banget. Oh iya mereka juga ada es kopi susu ya.

Nama tempatnya @bakeandbrookie, sebelumnya mereka udah buka di Jakarta dan sekarang udah bisa kalian cobain di Jogja.

Langsung agendain aja ya!

Bake & Brookie @bakeandbrookie 
12:00 ——— 19:00 (till soldout)
Pandega Karya, Jalan Kaliurang, Yk","minggu lalu kami menemukan tempat lucu ini di bilangan jakal bawah. tempatnya emang mungil, tapi asik banget buat sekedar ngemil cookies ataupun cake yang nagih banget. oh iya mereka juga ada es kopi susu ya.
nama tempatnya @bakeandbrookie, sebelumnya mereka udah buka di jakarta dan sekarang udah bisa kalian cobain di jogja.
langsung agendain aja ya 
bake brookie @bakeandbrookie 
12 00 - 19 00 till soldout 
pandega karya, jalan kaliurang, yk",Bake & Brookie,12:00 - 19:00,"Pandega Karya, Jalan Kaliurang, Yk",Yogyakarta,@bakeandbrookie,12:00,19:00,False,False,"['kopi', 'dessert']",[]
"Rehat bentar dari keramaian dan rutinitas bisa sesimpel dateng ke tempat makan yang punya vibes nenangin kayak gini ✨

Buat yang belum tau sekarang @tepisungai.kitchen ada prasmanannya ya! Bayangin makan comfort food dengan suasana yang tenang, dekat dengan alam dan jauuh banget dari berisik, suara gemercik air, suara pohon-pohon yang saling bergesekan satu sama lain dan tempat yang nyaman. 

Lokasinya emang agak jauh, tepatnya di area Palagan atas, tapi buat rehat dari keramaian jarak yang agak jauh rasanya sebanding deh. Apalagi kemarin pas nyobain ada banyak pilihan menu prasmanan dan masakannya enak!

Tepi Sungai Kitchen @tepisungai.kitchen
09:00 ——— 17:00
Palagan Atas, Yogyakarta","rehat bentar dari keramaian dan rutinitas bisa sesimpel dateng ke tempat makan yang punya vibes nenangin kayak gini 
buat yang belum tau sekarang @tepisungai.kitchen ada prasmanannya ya bayangin makan comfort food dengan suasana yang tenang, dekat dengan alam dan jauuh banget dari berisik, suara gemercik air, suara pohon-pohon yang saling bergesekan satu sama lain dan tempat yang nyaman. 
lokasinya emang agak jauh, tepatnya di area palagan atas, tapi buat rehat dari keramaian jarak yang agak jauh rasanya sebanding deh. apalagi kemarin pas nyobain ada banyak pilihan menu prasmanan dan masakannya enak 
tepi sungai kitchen @tepisungai.kitchen
09 00 - 17 00
palagan atas, yogyakarta",Tepi Sungai Kitchen,09:00 - 17:00,"Palagan Atas, Yogyakarta",Yogyakarta,@tepisungai.kitchen,09:00,17:00,False,False,['makanan'],['dating']
"Buat temen-temen yang rumahnya di daerah Sleman dan lagi pengen ngopi tapi males harus jauh-jauh turun, nih ada street coffee yang bisa kalian cobain!

Nama tempatnya @sidewalk_27, lokasinya nggak jauh dari komplek pemda Sleman, tepatnya ada di Tridadi (Jl. KRT Pringgodiningratan). Vibesnya asik banget karena kebetulan emang lokasinya mendukung, ada banyak pohon-pohon dan taman pinggir jalan yang asik buat duduk-duduk.

Menunya juga lumayan banyak pilihan, ada coffee non coffee, snack bahkan ada juga manual brew. Oh iya mereka juga ada toilet ya guys! 

Dah langsung nyore sini yok!

Sidewalk 27 @sidewalk_27 
17:00 ——— 23:00
Tridadi Sleman","buat temen-temen yang rumahnya di daerah sleman dan lagi pengen ngopi tapi males harus jauh-jauh turun, nih ada street coffee yang bisa kalian cobain 
nama tempatnya @sidewalk 27, lokasinya nggak jauh dari komplek pemda sleman, tepatnya ada di tridadi jl. krt pringgodiningratan . vibesnya asik banget karena kebetulan emang lokasinya mendukung, ada banyak pohon-pohon dan taman pinggir jalan yang asik buat duduk-duduk.
menunya juga lumayan banyak pilihan, ada coffee non coffee, snack bahkan ada juga manual brew. oh iya mereka juga ada toilet ya guys 
dah langsung nyore sini yok 
sidewalk 27 @sidewalk 27 
17 00 - 23 00
tridadi sleman",Sidewalk 27,17:00 - 23:00,Tridadi Sleman,Sleman,@sidewalk_27,17:00,23:00,False,False,['kopi'],['hangout']
"Omore coffee ini kayaknya bakal jadi salah satu referensi permanen kalau ada temen yang nanya coffee shop di daerah Palagan.

Gimana enggak, tempat ini nggak cuma estetik tapi juga produk dan servicenya yang excelent. 

Dari pertama sampai dan masuk udah dibikin terkesan sama tempatnya yang rapi dan match dari semua tatanannya, nggak berhenti disitu pas menunya dateng dibikin terkesan lagi sama tampilannya, pas nyobain menunya lagi-lagi dibikin terkesan sama rasanya.

Kalau kamu lagi nyari coffee shop yang dari tempatnya bagus, service oke dan produknya worth it tempat ini bisa jadi salah satu pertimbangan ya!

Omore Coffee @omore.idn 
09:00 ——— 22:00
Jl. Palagan Tentara Pelajar, Yogyakarta","omore coffee ini kayaknya bakal jadi salah satu referensi permanen kalau ada temen yang nanya coffee shop di daerah palagan.
gimana enggak, tempat ini nggak cuma estetik tapi juga produk dan servicenya yang excelent. 
dari pertama sampai dan masuk udah dibikin terkesan sama tempatnya yang rapi dan match dari semua tatanannya, nggak berhenti disitu pas menunya dateng dibikin terkesan lagi sama tampilannya, pas nyobain menunya lagi-lagi dibikin terkesan sama rasanya.
kalau kamu lagi nyari coffee shop yang dari tempatnya bagus, service oke dan produknya worth it tempat ini bisa jadi salah satu pertimbangan ya 
omore coffee @omore.idn 
09 00 - 22 00
jl. palagan tentara pelajar, yogyakarta",Omore Coffee,09:00 - 22:00,"Jl. Palagan Tentara Pelajar, Yogyakarta",Yogyakarta,@omore.idn,09:00,22:00,False,False,[],['dating']
"Coffee shop yang letaknya agak tersembunyi di Maguwoharjo ini mungkin bisa jadi salah satu hidden place yang setelah kalian datengin bakal bilang “enak juga ngopi disini” apalagi menjelang senja dengan dihiasi sinar matahari yang mulai redup.

Suasananya tenang banget dilengkapi dengan banyak area duduk yang berjarak sehingga kalau kalian lagi cerita-cerita ataupun diskusi kayaknya nggak bakal keganggu satu dengan yang lain.

Selain tempatnya hal lain yang menarik di tempat ini adalah menunya. Mereka ngangkat citarasa lokal (rempah) yang dipadukan dengan kopi dan minuman lain yang unik. Racikannya pun tidak “mekso” yang artinya balance tidak mengganggu rasa yang ada.

Kalau kalian lagi pengen ngopi tenang dengan menu-menu yang cukup berbeda @teraskemarin adalah tempat yang tepat ✨

Teras Kemarin @teraskemarin 
08:00 ——— 24:00
Maguwoharjo, Sleman, Yogyakarta","coffee shop yang letaknya agak tersembunyi di maguwoharjo ini mungkin bisa jadi salah satu hidden place yang setelah kalian datengin bakal bilang enak juga ngopi disini apalagi menjelang senja dengan dihiasi sinar matahari yang mulai redup.
suasananya tenang banget dilengkapi dengan banyak area duduk yang berjarak sehingga kalau kalian lagi cerita-cerita ataupun diskusi kayaknya nggak bakal keganggu satu dengan yang lain.
selain tempatnya hal lain yang menarik di tempat ini adalah menunya. mereka ngangkat citarasa lokal rempah yang dipadukan dengan kopi dan minuman lain yang unik. racikannya pun tidak mekso yang artinya balance tidak mengganggu rasa yang ada.
kalau kalian lagi pengen ngopi tenang dengan menu-menu yang cukup berbeda @teraskemarin adalah tempat yang tepat 
teras kemarin @teraskemarin 
08 00 - 24 00
maguwoharjo, sleman, yogyakarta",Teras Kemarin,08:00 - 24:00,"Maguwoharjo, Sleman, Yogyakarta",Sleman,@teraskemarin,08:00,23:59,False,False,['kopi'],"['hangout', 'dating']"
"Buka jam 7 di daerah Palagan coffee shop ini bisa jadi pilihan buat kalian si morning person atau sekedar buat mengawali hari, mumpung besok masih tanggal merah bisa tuh diagendain.

Nama tempatnya @orlocoffee, areanya cukup compact lengkap dengan indoor AC di area bar dan mezzanine semi outdoor di samping. Cocok buat sekedar ngopi santai ataupun nugas.

Nah yang special di tempat ini es kopi susunya. Kemarin nyibain Aplen, es kopi susu dengan hint rasa permen alpenliebe yang creamy dan balance. Beneran enak! Apalagi cupnya udah pakai yang anti tumpah, jadi kalau mau takeaway juga aman aja.

Dah langsung cobain aja ya! Oh iya ada beberapa promo juga nih catet ya biar nggak kelupaan:
• Loyalty card disc 20% (regular customer only)
• After office package (40k) brownies & orlo signature
• Grab dine in disc 20%
• Grab paket bundling 3 signature only 50k
• Gofood diskon 25% min pembelian 75k
• Shopee Food discount up to 50%

Orlo Coffee @orlocoffee
07:00 ——— 22:00
Jl. Nglempongsari (area Palagan)","buka jam 7 di daerah palagan coffee shop ini bisa jadi pilihan buat kalian si morning person atau sekedar buat mengawali hari, mumpung besok masih tanggal merah bisa tuh diagendain.
nama tempatnya @orlocoffee, areanya cukup compact lengkap dengan indoor ac di area bar dan mezzanine semi outdoor di samping. cocok buat sekedar ngopi santai ataupun nugas.
nah yang special di tempat ini es kopi susunya. kemarin nyibain aplen, es kopi susu dengan hint rasa permen alpenliebe yang creamy dan balance. beneran enak apalagi cupnya udah pakai yang anti tumpah, jadi kalau mau takeaway juga aman aja.
dah langsung cobain aja ya oh iya ada beberapa promo juga nih catet ya biar nggak kelupaan 
 loyalty card disc 20 regular customer only 
 after office package 40k brownies orlo signature
 grab dine in disc 20 
 grab paket bundling 3 signature only 50k
 gofood diskon 25 min pembelian 75k
 shopee food discount up to 50 
orlo coffee @orlocoffee
07 00 - 22 00
jl. nglempongsari area palagan",Orlo Coffee,07:00 - 22:00,Jl. Nglempongsari (area Palagan),Lainnya,@orlocoffee,07:00,22:00,False,False,"['kopi', 'dessert']","['wfc', 'hangout']"
"Salah satu tempat asik buat ngisi long weekend besok nih!

Lokasinya emang agak tersembunyi, tepatnya ada di Jl. Dewan Raya, Corongan, Maguwoharjo atau nggak jauh dari Transmart, tapi justru karena tesembunyi tempat ini punya suasana tenang yang jauh dari bising kota.

Tempatnya luas, banyak spot menarik, banyak pilihan tempat duduk nyaman, banyak pepohonan dan ada kolam ikan yang bikin tambah betah lama-lama disini. Fasilitasnya juga lengkap, parkir luas, mushola bersih dan wifi cukup keceng.

Kalau sore abis pulang kerja atau abis dari kegiatan apapun tapi belum pengen pulang juga tempat ini cocok kalian datengin, selain itu tiap weekend juga ada live music ya! 

Dah langsung agendain aja ya!

PROMO CODE: “RKCOCONUTRESERVE” - tunjukin kode promo ini di kasir saat payment dan dapetin diskon 15% dengan minimal pembelian 100K (berlaku setiap hari sampai 30 Oktober 2024)

Coconut Reserve @coconutreserve.id 
10:00 ——— 01:00
Jl. Dewan Raya, Corongan, Maguwoharjo, Depok, Sleman, Yogyakarta","salah satu tempat asik buat ngisi long weekend besok nih 
lokasinya emang agak tersembunyi, tepatnya ada di jl. dewan raya, corongan, maguwoharjo atau nggak jauh dari transmart, tapi justru karena tesembunyi tempat ini punya suasana tenang yang jauh dari bising kota.
tempatnya luas, banyak spot menarik, banyak pilihan tempat duduk nyaman, banyak pepohonan dan ada kolam ikan yang bikin tambah betah lama-lama disini. fasilitasnya juga lengkap, parkir luas, mushola bersih dan wifi cukup keceng.
kalau sore abis pulang kerja atau abis dari kegiatan apapun tapi belum pengen pulang juga tempat ini cocok kalian datengin, selain itu tiap weekend juga ada live music ya 
dah langsung agendain aja ya 
promo code rkcoconutreserve - tunjukin kode promo ini di kasir saat payment dan dapetin diskon 15 dengan minimal pembelian 100k berlaku setiap hari sampai 30 oktober 2024 
coconut reserve @coconutreserve.id 
10 00 - 01 00
jl. dewan raya, corongan, maguwoharjo, depok, sleman, yogyakarta",Coconut Reserve,10:00 - 01:00,"Jl. Dewan Raya, Corongan, Maguwoharjo, Depok, Sleman, Yogyakarta",Sleman,@coconutreserve.id,10:00,01:00,False,True,[],"['wfc', 'dating']"
"Baru tau ternyata ada street coffee bar baru di area Tugu!

Kali ini nampaknya @jrnycoffeeandrecords turut meramaikan dunia street coffee bar yang lagi cukup rame di Jogja dengan mengusung @jrnymodularandfolks. Selain bawain menu kopi mereka juga ada burger & hotdog dari @jrnyburger.

Dah langsung agendain aja ya besok!

JRNY Modular & Folks @jrnymodularandfolks 
18:00 ——— 24:00
Jl. Mangkubumi (selatan indomaret deket Harper)","baru tau ternyata ada street coffee bar baru di area tugu 
kali ini nampaknya @jrnycoffeeandrecords turut meramaikan dunia street coffee bar yang lagi cukup rame di jogja dengan mengusung @jrnymodularandfolks. selain bawain menu kopi mereka juga ada burger hotdog dari @jrnyburger.
dah langsung agendain aja ya besok 
jrny modular folks @jrnymodularandfolks 
18 00 - 24 00
jl. mangkubumi selatan indomaret deket harper",JRNY Modular & Folks,18:00 - 24:00,Jl. Mangkubumi (selatan indomaret deket Harper),Lainnya,"@jrnyburger., @jrnycoffeeandrecords, @jrnymodularandfolks, @jrnymodularandfolks.",18:00,23:59,False,False,['kopi'],[]
"Pas pertama kali masuk ke tempat ini emang cukup kaget ternyata konsepnya sangat tidak biasa, apalagi dari jalan nggak keliatan bakal ada tempat ngopi se out of the box ini. Bisa jadi ini tempat ter unik yang pernah kami datangi dari segi konsep.

Setelah masuk dan explore masih ada kejutan-kejutan lain yang bikin kaget! Pintu masuk area utama yang gede banget, toiletnya yang sangat “wah”, aquarium ikan hiu besar dan tentu saja interior serba kaca yang estetik.

Lanjut ke menu buat harga menu makanan minumannya sebenernya cukup normal dengan konsepnya yang kayak gini, hampir sama lah kayak tempat setara lainnya. Cuma emang ada beberapa menu yang harganya “harga sultan”.

Ya, tempat ini cocok buat temen-temen yang pengen nyobain suasana yang beda 👌🏼

The Soultans Indonesia @the_soultans_indonesia
15:00 ——— 23:00
Jl. Tritunggal No.2, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta","pas pertama kali masuk ke tempat ini emang cukup kaget ternyata konsepnya sangat tidak biasa, apalagi dari jalan nggak keliatan bakal ada tempat ngopi se out of the box ini. bisa jadi ini tempat ter unik yang pernah kami datangi dari segi konsep.
setelah masuk dan explore masih ada kejutan-kejutan lain yang bikin kaget pintu masuk area utama yang gede banget, toiletnya yang sangat wah , aquarium ikan hiu besar dan tentu saja interior serba kaca yang estetik.
lanjut ke menu buat harga menu makanan minumannya sebenernya cukup normal dengan konsepnya yang kayak gini, hampir sama lah kayak tempat setara lainnya. cuma emang ada beberapa menu yang harganya harga sultan .
ya, tempat ini cocok buat temen-temen yang pengen nyobain suasana yang beda 
the soultans indonesia @the soultans indonesia
15 00 - 23 00
jl. tritunggal no.2, sorosutan, kec. umbulharjo, kota yogyakarta",The Soultans Indonesia,15:00 - 23:00,"Jl. Tritunggal No.2, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta",Yogyakarta,@the_soultans_indonesia,15:00,23:00,False,False,['makanan'],[]
